Run	alpha	regularization	factors	iterations	precision	recall	f1	map@k
run_165	40	1.0	1000	50	0.1376	0.1376	0.1376	0.0651
run_166	25	0.1	750	25	0.1426	0.1426	0.1426	0.0631
run_167	55	0.001	1000	25	0.1529	0.1529	0.1529	0.0703
run_168	40	0.1	500	10	0.1659	0.1659	0.1659	0.0661
run_169	10	0.001	250	10	0.1132	0.1132	0.1132	0.0359
run_170	25	0.01	1000	5	0.0923	0.0923	0.0923	0.0392
run_171	40	0.001	100	25	0.1281	0.1281	0.1281	0.0420
run_172	10	0.01	1000	5	0.0462	0.0462	0.0462	0.0156
run_173	55	0.01	500	10	0.1702	0.1702	0.1702	0.0653
run_174	10	0.1	500	50	0.1031	0.1031	0.1031	0.0372
run_175	10	0.01	250	10	0.1139	0.1139	0.1139	0.0361
run_176	25	0.1	250	50	0.1491	0.1491	0.1491	0.0561
run_177	55	1.0	250	5	0.1364	0.1364	0.1364	0.0477
run_178	25	10.0	500	5	0.1281	0.1281	0.1281	0.0494
run_179	10	0.01	500	5	0.0849	0.0849	0.0849	0.0268
run_180	55	0.001	100	50	0.1277	0.1277	0.1277	0.0422
run_181	40	0.01	250	10	0.1493	0.1493	0.1493	0.0544
run_182	10	10.0	1000	25	0.0506	0.0506	0.0506	0.0195
run_183	25	1.0	500	5	0.1246	0.1246	0.1246	0.0475
run_184	40	10.0	750	25	0.1706	0.1706	0.1706	0.0745
run_185	55	1.0	750	25	0.1825	0.1825	0.1825	0.0772
run_186	10	0.01	1000	10	0.0494	0.0494	0.0494	0.0186
run_187	10	1.0	1000	50	0.0514	0.0514	0.0514	0.0201
run_188	25	0.01	100	50	0.1252	0.1252	0.1252	0.0400
run_189	25	0.01	250	25	0.1474	0.1474	0.1474	0.0550
run_190	40	0.1	250	25	0.1593	0.1593	0.1593	0.0600
run_191	40	0.1	250	10	0.1515	0.1515	0.1515	0.0552
run_192	10	1.0	750	25	0.0764	0.0764	0.0764	0.0288
run_193	25	0.001	100	5	0.1185	0.1185	0.1185	0.0371
run_194	40	1.0	750	10	0.1526	0.1526	0.1526	0.0643
run_195	55	10.0	500	10	0.1726	0.1726	0.1726	0.0668
run_196	10	1.0	250	25	0.1172	0.1172	0.1172	0.0382
run_197	10	1.0	250	5	0.1074	0.1074	0.1074	0.0327
run_198	25	10.0	250	10	0.1424	0.1424	0.1424	0.0520
run_199	40	0.1	100	25	0.1287	0.1287	0.1287	0.0421
run_200	10	0.1	1000	50	0.0512	0.0512	0.0512	0.0203
run_201	40	10.0	500	50	0.1844	0.1844	0.1844	0.0753
run_202	40	1.0	500	5	0.1406	0.1406	0.1406	0.0539
run_203	25	1.0	100	50	0.1247	0.1247	0.1247	0.0402
run_204	55	10.0	250	25	0.1609	0.1609	0.1609	0.0594
run_205	40	0.1	500	50	0.1842	0.1842	0.1842	0.0746
run_206	10	0.01	750	5	0.0647	0.0647	0.0647	0.0215
run_207	25	0.01	100	25	0.1262	0.1262	0.1262	0.0403
run_208	55	0.1	500	5	0.1443	0.1443	0.1443	0.0540
run_209	55	0.01	1000	5	0.1226	0.1226	0.1226	0.0504
run_210	25	0.01	250	5	0.1258	0.1258	0.1258	0.0440
run_211	25	1.0	100	10	0.1250	0.1250	0.1250	0.0401
run_212	40	10.0	1000	5	0.1203	0.1203	0.1203	0.0517
run_213	55	1.0	250	25	0.1604	0.1604	0.1604	0.0593
run_214	40	0.001	750	50	0.1728	0.1728	0.1728	0.0748
run_215	25	0.01	1000	25	0.1076	0.1076	0.1076	0.0513
run_216	25	10.0	250	50	0.1492	0.1492	0.1492	0.0560
run_217	55	0.001	500	50	0.1922	0.1922	0.1922	0.0757
run_218	40	10.0	500	10	0.1677	0.1677	0.1677	0.0665
run_219	10	10.0	500	5	0.0873	0.0873	0.0873	0.0280
run_220	40	0.001	250	5	0.1339	0.1339	0.1339	0.0471
run_221	40	0.01	100	10	0.1255	0.1255	0.1255	0.0414
run_222	10	10.0	750	25	0.0767	0.0767	0.0767	0.0285
run_223	10	0.001	500	10	0.0963	0.0963	0.0963	0.0326
run_224	55	0.001	750	10	0.1669	0.1669	0.1669	0.0678
run_225	55	1.0	750	10	0.1627	0.1627	0.1627	0.0670
run_226	40	0.1	500	25	0.1804	0.1804	0.1804	0.0730
run_227	10	0.01	500	25	0.1017	0.1017	0.1017	0.0367
run_228	55	0.1	250	25	0.1614	0.1614	0.1614	0.0590
run_229	25	10.0	1000	25	0.1075	0.1075	0.1075	0.0513
run_230	10	0.001	250	25	0.1168	0.1168	0.1168	0.0380
run_231	10	0.001	1000	10	0.0491	0.0491	0.0491	0.0184
run_232	40	0.001	750	25	0.1710	0.1710	0.1710	0.0736
run_233	40	0.01	250	50	0.1601	0.1601	0.1601	0.0600
run_234	55	10.0	100	25	0.1280	0.1280	0.1280	0.0424
run_235	25	0.01	750	50	0.1447	0.1447	0.1447	0.0650
run_236	25	10.0	750	10	0.1345	0.1345	0.1345	0.0581
run_237	55	0.01	1000	10	0.1458	0.1458	0.1458	0.0634
run_238	55	0.001	750	5	0.1362	0.1362	0.1362	0.0529
run_239	40	0.001	100	10	0.1267	0.1267	0.1267	0.0415
run_240	25	0.1	1000	10	0.1041	0.1041	0.1041	0.0475
run_241	25	0.001	1000	10	0.1042	0.1042	0.1042	0.0477
run_242	25	1.0	1000	10	0.1035	0.1035	0.1035	0.0470
run_243	55	0.001	1000	10	0.1453	0.1453	0.1453	0.0637
run_244	40	0.001	750	5	0.1294	0.1294	0.1294	0.0517
run_245	25	10.0	250	5	0.1283	0.1283	0.1283	0.0446
run_246	55	0.001	500	10	0.1716	0.1716	0.1716	0.0657
run_247	25	0.001	1000	50	0.1063	0.1063	0.1063	0.0514
run_248	55	0.01	500	50	0.1930	0.1930	0.1930	0.0764
run_249	25	0.01	500	25	0.1599	0.1599	0.1599	0.0659
run_250	25	0.001	100	25	0.1259	0.1259	0.1259	0.0405
run_251	40	0.1	100	10	0.1271	0.1271	0.1271	0.0414
run_252	25	1.0	250	25	0.1472	0.1472	0.1472	0.0547
run_253	10	1.0	250	50	0.1180	0.1180	0.1180	0.0384
run_254	55	10.0	500	5	0.1483	0.1483	0.1483	0.0562
run_255	55	10.0	1000	10	0.1492	0.1492	0.1492	0.0658
run_256	40	10.0	750	5	0.1367	0.1367	0.1367	0.0561
run_257	10	10.0	100	10	0.1154	0.1154	0.1154	0.0344
run_258	25	0.1	100	50	0.1259	0.1259	0.1259	0.0403
run_259	25	0.1	750	50	0.1458	0.1458	0.1458	0.0648
run_260	10	0.1	250	50	0.1177	0.1177	0.1177	0.0384
run_261	25	0.01	750	5	0.1105	0.1105	0.1105	0.0446
run_262	10	1.0	250	10	0.1159	0.1159	0.1159	0.0372
run_263	40	1.0	750	50	0.1718	0.1718	0.1718	0.0748
run_264	55	10.0	1000	50	0.1539	0.1539	0.1539	0.0717
run_265	10	0.1	750	10	0.0733	0.0733	0.0733	0.0266
run_266	40	1.0	1000	5	0.1117	0.1117	0.1117	0.0473
run_267	25	0.1	750	5	0.1112	0.1112	0.1112	0.0455
run_268	10	10.0	1000	50	0.0510	0.0510	0.0510	0.0197
run_269	40	1.0	100	5	0.1209	0.1209	0.1209	0.0381
run_270	10	0.1	100	50	0.1170	0.1170	0.1170	0.0350
run_271	40	0.01	1000	5	0.1118	0.1118	0.1118	0.0472
run_272	40	0.001	500	50	0.1852	0.1852	0.1852	0.0749
run_273	25	10.0	750	5	0.1147	0.1147	0.1147	0.0466
run_274	10	0.01	100	25	0.1164	0.1164	0.1164	0.0348
run_275	40	0.01	500	50	0.1844	0.1844	0.1844	0.0748
run_276	40	1.0	1000	25	0.1389	0.1389	0.1389	0.0645
run_277	10	0.01	100	50	0.1179	0.1179	0.1179	0.0353
run_278	10	0.1	100	5	0.1131	0.1131	0.1131	0.0332
run_279	10	0.1	750	5	0.0641	0.0641	0.0641	0.0214
run_280	25	1.0	750	50	0.1447	0.1447	0.1447	0.0646
run_281	10	0.01	500	10	0.0966	0.0966	0.0966	0.0331
run_282	10	10.0	100	5	0.1127	0.1127	0.1127	0.0331
run_283	40	1.0	500	25	0.1774	0.1774	0.1774	0.0717
run_284	10	0.001	500	50	0.1034	0.1034	0.1034	0.0372
run_285	25	0.01	750	25	0.1440	0.1440	0.1440	0.0637
run_286	55	0.1	500	50	0.1915	0.1915	0.1915	0.0751
run_287	25	1.0	750	5	0.1101	0.1101	0.1101	0.0439
run_288	55	1.0	500	50	0.1910	0.1910	0.1910	0.0757
run_289	40	0.001	250	25	0.1583	0.1583	0.1583	0.0593
run_290	10	1.0	500	5	0.0865	0.0865	0.0865	0.0275
run_291	40	0.01	750	10	0.1582	0.1582	0.1582	0.0667
run_292	10	0.001	750	25	0.0767	0.0767	0.0767	0.0294
run_293	55	0.001	250	5	0.1357	0.1357	0.1357	0.0468
run_294	40	10.0	250	5	0.1369	0.1369	0.1369	0.0489
run_295	40	10.0	100	50	0.1287	0.1287	0.1287	0.0420
run_296	40	1.0	250	10	0.1516	0.1516	0.1516	0.0563
run_297	40	0.001	750	10	0.1576	0.1576	0.1576	0.0667
run_298	40	0.001	1000	25	0.1368	0.1368	0.1368	0.0645
run_299	55	0.1	1000	5	0.1237	0.1237	0.1237	0.0512
run_300	25	1.0	250	10	0.1419	0.1419	0.1419	0.0517
run_301	10	10.0	1000	10	0.0504	0.0504	0.0504	0.0191
run_302	25	0.001	750	10	0.1323	0.1323	0.1323	0.0563
run_303	25	0.1	250	25	0.1482	0.1482	0.1482	0.0554
run_304	10	0.001	500	5	0.0852	0.0852	0.0852	0.0269
run_305	10	0.001	1000	5	0.0459	0.0459	0.0459	0.0160
run_306	55	1.0	500	25	0.1850	0.1850	0.1850	0.0730
run_307	40	1.0	1000	10	0.1313	0.1313	0.1313	0.0592
run_308	40	0.1	1000	50	0.1371	0.1371	0.1371	0.0645
run_309	10	0.01	750	25	0.0776	0.0776	0.0776	0.0295
run_310	25	0.1	100	25	0.1254	0.1254	0.1254	0.0402
run_311	40	0.1	1000	5	0.1134	0.1134	0.1134	0.0483
run_312	10	10.0	250	50	0.1173	0.1173	0.1173	0.0379
run_313	25	1.0	500	10	0.1452	0.1452	0.1452	0.0585
run_314	40	0.01	750	25	0.1733	0.1733	0.1733	0.0756
run_315	55	1.0	1000	50	0.1559	0.1559	0.1559	0.0721
run_316	55	10.0	100	10	0.1254	0.1254	0.1254	0.0412
run_317	10	0.1	250	5	0.1039	0.1039	0.1039	0.0314
run_318	10	10.0	250	10	0.1144	0.1144	0.1144	0.0362
run_319	25	0.001	750	25	0.1435	0.1435	0.1435	0.0635
run_320	55	10.0	100	5	0.1209	0.1209	0.1209	0.0386
run_321	40	10.0	1000	25	0.1388	0.1388	0.1388	0.0653
run_322	25	0.01	100	10	0.1239	0.1239	0.1239	0.0395
run_323	25	0.1	100	10	0.1251	0.1251	0.1251	0.0398
run_324	10	0.001	100	50	0.1172	0.1172	0.1172	0.0351
run_325	55	1.0	500	5	0.1457	0.1457	0.1457	0.0548
run_326	25	10.0	1000	5	0.0956	0.0956	0.0956	0.0411
run_327	40	10.0	500	5	0.1438	0.1438	0.1438	0.0552
run_328	55	0.1	250	50	0.1631	0.1631	0.1631	0.0600
run_329	25	0.01	1000	50	0.1054	0.1054	0.1054	0.0510
run_330	10	0.01	250	25	0.1169	0.1169	0.1169	0.0378
run_331	10	10.0	750	10	0.0740	0.0740	0.0740	0.0266
run_332	10	0.1	500	25	0.1024	0.1024	0.1024	0.0367
run_333	10	0.001	750	50	0.0775	0.0775	0.0775	0.0298
run_334	55	0.001	1000	50	0.1524	0.1524	0.1524	0.0714
run_335	10	0.001	1000	50	0.0512	0.0512	0.0512	0.0202
run_336	40	1.0	100	50	0.1290	0.1290	0.1290	0.0425
run_337	25	1.0	100	5	0.1198	0.1198	0.1198	0.0378
run_338	10	1.0	750	10	0.0730	0.0730	0.0730	0.0261
run_339	25	0.001	500	25	0.1594	0.1594	0.1594	0.0655
run_340	55	0.001	250	25	0.1589	0.1589	0.1589	0.0583
run_341	40	10.0	750	10	0.1591	0.1591	0.1591	0.0678
run_342	40	1.0	500	50	0.1834	0.1834	0.1834	0.0747
run_343	25	10.0	1000	10	0.1080	0.1080	0.1080	0.0496
run_344	55	0.001	250	50	0.1624	0.1624	0.1624	0.0597
run_345	55	0.01	750	10	0.1666	0.1666	0.1666	0.0683
run_346	25	0.001	250	50	0.1494	0.1494	0.1494	0.0563
run_347	40	0.01	100	25	0.1294	0.1294	0.1294	0.0423
run_348	40	0.001	100	5	0.1197	0.1197	0.1197	0.0381
run_349	55	10.0	500	25	0.1876	0.1876	0.1876	0.0740
run_350	40	10.0	100	5	0.1212	0.1212	0.1212	0.0387
run_351	55	0.01	250	50	0.1632	0.1632	0.1632	0.0595
run_352	55	0.1	1000	25	0.1548	0.1548	0.1548	0.0703
run_353	55	0.01	100	25	0.1285	0.1285	0.1285	0.0424
run_354	55	0.01	250	25	0.1596	0.1596	0.1596	0.0588
run_355	25	0.1	1000	25	0.1075	0.1075	0.1075	0.0514
run_356	10	0.1	1000	5	0.0460	0.0460	0.0460	0.0159
run_357	55	0.01	1000	50	0.1524	0.1524	0.1524	0.0708
run_358	55	10.0	1000	25	0.1559	0.1559	0.1559	0.0715
run_359	10	10.0	250	25	0.1168	0.1168	0.1168	0.0375
run_360	40	0.1	1000	10	0.1322	0.1322	0.1322	0.0595
run_361	10	0.1	250	25	0.1172	0.1172	0.1172	0.0379
run_362	40	10.0	1000	50	0.1384	0.1384	0.1384	0.0653
run_363	40	0.001	500	10	0.1645	0.1645	0.1645	0.0646
run_364	10	10.0	500	25	0.1013	0.1013	0.1013	0.0356
run_365	55	1.0	250	50	0.1625	0.1625	0.1625	0.0600
run_366	40	0.1	1000	25	0.1379	0.1379	0.1379	0.0643
run_367	40	10.0	100	25	0.1283	0.1283	0.1283	0.0419
run_368	10	0.1	250	10	0.1136	0.1136	0.1136	0.0360
run_369	55	0.1	500	25	0.1852	0.1852	0.1852	0.0726
run_370	25	0.001	750	5	0.1109	0.1109	0.1109	0.0452
run_371	25	0.001	250	10	0.1385	0.1385	0.1385	0.0500
run_372	10	1.0	500	50	0.1028	0.1028	0.1028	0.0370
run_373	10	10.0	250	5	0.1058	0.1058	0.1058	0.0320
run_374	55	0.01	750	50	0.1879	0.1879	0.1879	0.0797
run_375	40	1.0	750	5	0.1293	0.1293	0.1293	0.0524
run_376	55	0.1	500	10	0.1704	0.1704	0.1704	0.0656
run_377	40	1.0	100	10	0.1269	0.1269	0.1269	0.0413
run_378	40	10.0	250	50	0.1584	0.1584	0.1584	0.0593
run_379	10	1.0	500	10	0.0976	0.0976	0.0976	0.0336
run_380	40	0.1	250	50	0.1612	0.1612	0.1612	0.0609
run_381	25	0.001	250	5	0.1254	0.1254	0.1254	0.0430
run_382	10	0.01	250	50	0.1187	0.1187	0.1187	0.0385
run_383	10	0.001	250	50	0.1175	0.1175	0.1175	0.0383
run_384	10	0.001	100	5	0.1128	0.1128	0.1128	0.0331
run_385	10	1.0	500	25	0.1019	0.1019	0.1019	0.0366
run_386	40	0.1	100	5	0.1206	0.1206	0.1206	0.0384
run_387	25	0.001	500	5	0.1228	0.1228	0.1228	0.0465
run_388	55	10.0	750	25	0.1831	0.1831	0.1831	0.0777
run_389	25	1.0	1000	50	0.1077	0.1077	0.1077	0.0517
run_390	25	0.001	250	25	0.1468	0.1468	0.1468	0.0547
run_391	10	0.01	1000	25	0.0512	0.0512	0.0512	0.0202
run_392	40	0.01	750	5	0.1304	0.1304	0.1304	0.0521
run_393	10	1.0	1000	25	0.0515	0.0515	0.0515	0.0201
run_394	25	0.01	500	5	0.1234	0.1234	0.1234	0.0465
run_395	10	10.0	500	10	0.0979	0.0979	0.0979	0.0337
run_396	25	0.001	500	50	0.1647	0.1647	0.1647	0.0681
run_397	10	0.1	500	10	0.0966	0.0966	0.0966	0.0332
run_398	55	0.1	750	50	0.1886	0.1886	0.1886	0.0803
run_399	40	0.01	250	25	0.1596	0.1596	0.1596	0.0600
