Run	model	alpha	regularization	factors	iterations	precision	recall	f1	map@k
run_823	lmf	54	0.035161615114346165	766	13	0.0034	0.0034	0.0034	0.0004
run_824	lmf	77	0.00394586014070559	132	57	0.0013	0.0013	0.0013	0.0002
run_825	lmf	76	0.00991410528219254	60	13	0.0014	0.0014	0.0014	0.0002
run_826	bpr	90	0.030106579449633773	997	95	0.0678	0.0678	0.0678	0.0173
run_827	lmf	44	0.01457968971870871	408	59	0.0034	0.0034	0.0034	0.0004
run_828	lmf	61	0.0052056778628333834	867	95	0.0034	0.0034	0.0034	0.0004
run_829	lmf	94	0.0026527879168506447	565	94	0.0034	0.0034	0.0034	0.0004
run_830	lmf	71	0.0068092153926211365	67	58	0.0015	0.0015	0.0015	0.0003
run_831	lmf	26	0.009385863759292613	898	11	0.0034	0.0034	0.0034	0.0004
run_832	bpr	39	0.005159937355782553	947	55	0.0792	0.0792	0.0792	0.0210
run_833	lmf	25	0.006130944928165749	95	86	0.0015	0.0015	0.0015	0.0003
run_834	lmf	60	0.001177253901573676	78	70	0.0013	0.0013	0.0013	0.0002
run_835	bpr	60	0.03608648653407148	168	90	0.0523	0.0523	0.0523	0.0138
run_836	bpr	56	0.0038149651147355392	728	11	0.0556	0.0556	0.0556	0.0147
run_837	bpr	20	0.004983808223557929	227	36	0.0734	0.0734	0.0734	0.0198
run_838	lmf	67	0.0390639004693641	96	20	0.0013	0.0013	0.0013	0.0003
run_839	bpr	94	0.003070542531595093	949	63	0.0813	0.0813	0.0813	0.0217
run_840	lmf	80	0.0049431924494394925	953	38	0.0034	0.0034	0.0034	0.0004
run_841	lmf	64	0.0012188415888793813	875	56	0.0034	0.0034	0.0034	0.0004
run_842	lmf	95	0.003014398236675547	918	67	0.0034	0.0034	0.0034	0.0004
run_843	lmf	39	0.010140699977993146	324	83	0.0034	0.0034	0.0034	0.0004
run_844	lmf	83	0.013319572176797306	776	6	0.0034	0.0034	0.0034	0.0004
run_845	bpr	97	0.003054952868291021	341	21	0.0742	0.0742	0.0742	0.0195
run_846	bpr	48	0.015630360197817158	287	71	0.0727	0.0727	0.0727	0.0191
run_847	lmf	63	0.010809663696144946	101	58	0.0012	0.0012	0.0012	0.0002
run_848	lmf	21	0.008345960960324906	359	5	0.0034	0.0034	0.0034	0.0004
run_849	bpr	30	6.506972407166037e-05	854	29	0.0768	0.0768	0.0768	0.0202
run_850	lmf	40	0.005072788197071555	512	16	0.0034	0.0034	0.0034	0.0004
run_851	lmf	16	0.012888372158342199	98	5	0.0014	0.0014	0.0014	0.0002
run_852	bpr	55	0.0003877198074590325	526	26	0.0804	0.0804	0.0804	0.0212
run_853	lmf	74	0.002740864275556678	634	67	0.0034	0.0034	0.0034	0.0004
run_854	lmf	28	0.013085074014870652	932	89	0.0034	0.0034	0.0034	0.0004
run_855	lmf	13	0.020756793800918417	386	22	0.0034	0.0034	0.0034	0.0004
run_856	bpr	82	0.005872651662310991	412	37	0.0792	0.0792	0.0792	0.0210
run_857	lmf	51	0.0013709001893430887	78	80	0.0012	0.0012	0.0012	0.0002
run_858	lmf	83	0.011409758432880618	424	38	0.0034	0.0034	0.0034	0.0004
run_859	bpr	99	0.014034991312939392	728	45	0.0661	0.0661	0.0661	0.0174
run_860	lmf	97	0.00344763546640883	880	32	0.0034	0.0034	0.0034	0.0004
run_861	lmf	27	0.006291267029236277	546	5	0.0034	0.0034	0.0034	0.0004
run_862	lmf	65	0.014453332228706192	371	60	0.0034	0.0034	0.0034	0.0004
run_863	lmf	88	0.01194427065685827	251	55	0.0034	0.0034	0.0034	0.0004
run_864	lmf	13	0.0053467050445056355	256	24	0.0034	0.0034	0.0034	0.0004
run_865	bpr	44	0.0018181959154139017	641	88	0.0675	0.0675	0.0675	0.0181
run_866	lmf	37	0.004257235308107409	961	28	0.0034	0.0034	0.0034	0.0004
run_867	lmf	70	0.0018637358870868326	608	27	0.0034	0.0034	0.0034	0.0004
